School,GPA P10,Gpa P25,GPA P50 (Median),GPA P75,GPA P90,MCAT P10,MCAT P25,MCAT P50 (Median),MCAT P75,MCAT P90
Harvard Medical School,3.86,3.91,3.97,3.99,4,515,517,521,524,525
Johns Hopkins University,3.87,3.92,3.97,3.99,4,516,519,521,523,525
Stanford University,3.71,3.84,3.95,3.99,3.99,513,516,520,522,525
UPenn (Perelman),3.87,3.93,3.97,3.99,4,519,520,522,524,525
Duke University,3.7,3.83,3.91,3.97,4,512,517,520,522,525
UCSF,3.73,3.83,3.92,3.97,4,510,514,517,521,524
Columbia University,3.8,3.88,3.95,3.99,4,516,520,522,524,526
Yale School of Medicine,3.8,3.89,3.96,3.99,4,514,517,522,524,525
WashU St. Louis,3.83,3.9,3.96,3.99,4,516,518,521,523,525
NYU Grossman,3.9,3.94,3.97,3.99,4,520,521,523,525,526
Vanderbilt University,3.78,3.9,3.97,3.99,4,517,519,522,524,525
Mayo Clinic,3.74,3.87,3.95,3.98,3.99,515,518,522,524,525
University of Michigan,3.68,3.79,3.92,3.97,4,512,515,517,521,524
Weill Cornell Medicine,3.74,3.86,3.94,3.98,4,513,516,519,522,525
Northwestern University,3.78,3.88,3.94,3.98,4,515,518,521,523,525
University of Pittsburgh,3.64,3.78,3.9,3.97,4,509,514,517,520,522
Emory University,3.61,3.75,3.88,3.96,4,510,513,516,519,522
Icahn at Mount Sinai,3.77,3.87,3.95,3.98,4,514,516,520,523,525
UTSW,3.72,3.85,3.95,3.99,4,513,515,517,521,524
Baylor,3.8,3.89,3.96,4,4,513,516,519,522,524
UChicago (Pritzker),3.7,3.84,3.94,3.99,4,512,516,520,523,525
UCLA,3.53,3.7,3.86,3.96,4,506,510,515,519,522
UNC,3.48,3.7,3.87,3.95,3.99,505,511,515,519,521
Case Western Reserve,3.7,3.84,3.93,3.98,4,514,516,518,520,522
UCSD,3.61,3.74,3.9,3.96,3.99,508,512,516,519,522
Ohio State University,3.61,3.78,3.9,3.97,4,507,512,515,519,521
USC (Keck),3.62,3.77,3.91,3.98,4,510,514,517,519,523
University of Virginia,3.7,3.86,3.96,3.99,4,511,518,520,522,525
Brown University,3.62,3.79,3.88,3.97,4,512,514,517,520,523
Boston University,3.56,3.79,3.91,3.98,4,513,516,519,521,524
Albert Einstein,3.69,3.81,3.91,3.96,3.99,511,514,517,519,521
University of Washington,3.54,3.64,3.81,3.94,3.99,501,505,511,517,520
University of Miami,3.63,3.78,3.9,3.96,3.99,511,513,515,518,522
University of Florida,3.7,3.85,3.93,3.99,4,510,512,515,519,521
University of Alabama,3.6,3.78,3.88,3.97,4,501,505,510,514,518
Dartmouth (Geisel),3.59,3.75,3.89,3.95,3.99,510,513,516,519,522
University of Wisconsin,3.49,3.7,3.84,3.96,4,502,505,511,516,520
USF (Morsani),3.78,3.89,3.96,4,4,516,518,520,522,523
Colorado,3.66,3.78,3.89,3.97,4,510,513,516,519,522
University of Rochester,3.76,3.84,3.91,3.97,4,514,516,518,520,523
Hofstra,3.63,3.78,3.9,3.97,4,511,515,518,521,524
UC Irvine,3.7,3.81,3.9,3.97,3.99,510,513,517,520,522
Rutgers New Jersey,3.43,3.7,3.87,3.96,3.99,509,512,515,519,521
UT Austin (Dell),3.69,3.84,3.93,3.98,4,511,513,517,521,525
UC Davis,3.22,3.47,3.7,3.89,3.97,502,505,510,515,519
UMass,3.56,3.71,3.85,3.94,3.98,506,510,514,517,520
Tufts University,3.67,3.8,3.9,3.97,3.99,510,513,516,519,522
Georgetown University,3.56,3.79,3.9,3.97,4,509,512,515,518,521
Wake Forest,3.68,3.78,3.88,3.94,3.98,506,509,511,515,520
University of Maryland,3.67,3.79,3.9,3.96,4,508,510,515,519,522
University of Cininnicati ,3.55,3.76,3.9,3.99,4,506,511,515,519,522
University of Iowa,3.56,3.81,3.93,3.99,4,509,513,517,520,523
University of Hawaii,3.49,3.71,3.88,3.96,3.99,508,511,513,516,519
University of Minnesota ,3.54,3.71,3.86,3.95,3.99,503,508,513,518,521
Jefferson(Kimmel),3.59,3.77,3.89,3.96,3.99,509,511,514,517,520
Sony Brook University,3.75,3.85,3.93,3.97,4,511,514,517,520,523
Ut San Antonia(Long),3.7,3.85,3.95,3.99,4,514,517,519,522,524
Indiana University,3.66,3.81,3.92,3.98,4,506,509,513,518,522
University of Utah,3.6,3.74,3.88,3.96,4,501,505,511,515,519
Medical University of South Carolina,3.64,3.8,3.91,3.98,4,505,508,511,515,519
University of Central Florida,3.79,3.87,3.94,3.99,4,511,513,515,518,519
University of Nebraska ,3.68,3.78,3.92,3.99,4,507,509,513,515,519
SUNY Upstate,3.48,3.66,3.82,3.94,3.98,505,509,513,516,520
UC Riverside,3.36,3.54,3.77,3.92,3.98,502,505,510,513,517
University of Connecticut,3.62,3.76,3.87,3.95,3.99,508,511,515,519,521
New York Medical Colleges,3.57,3.73,3.86,3.95,3.99,512,515,517,519,521
Michigan State University,3.38,3.62,3.84,3.95,3.99,502,504,509,514,518
Loma Linda University ,3.67,3.82,3.92,3.96,3.99,502,507,512,516,519
